,state,type,beta0,beta1,beta2,tcut0,tcut1,delta,e0,ia0,is0
0,PR,estado,1.2749055475448192,0.4673895929153926,0.7934977810803826,94.97361249946057,124.96638529160828,0.4488069606192828,4.5113382011105007e-07,8.387257119136389e-07,8.180277169864751e-07
1,PR,estado,1.689804114229925,0.579208467803923,0.8444416510653339,90.93674142695065,127.16886891950956,0.3560837038339578,8.983730109861239e-08,5.510304816162795e-07,8.491152911340736e-07
2,PR,estado,1.43257633393353,0.5523650368269419,1.0843740229004486,93.71342073112737,133.24474726448156,0.3908339374387655,5.631789954160914e-07,4.313638554885402e-07,8.336320700461502e-07
3,PR,estado,1.726208901685543,0.4979333320861838,0.8746099757046754,95.02819868503713,116.06415075904943,0.28380318809720667,8.889418467417955e-08,5.783222501742872e-07,8.631121722947214e-07
4,PR,estado,1.4060858537881111,0.3789937964266963,0.7054161857275973,94.62790728827525,115.16958376296986,0.443908822912438,3.4652631494149945e-07,6.938926667752877e-07,7.005814204764798e-07
5,PR,estado,1.4315486246735873,0.517941676389178,0.9305437020183118,90.97670653037267,131.6666439949894,0.44074948644796186,6.668756530944223e-07,8.583897672725099e-07,7.882903421363547e-07
6,PR,estado,1.4147873689353259,0.46523265860880875,0.8502031381520295,91.37449931888382,127.4147189438444,0.47486587736542324,4.0532439814508314e-07,5.807795848433521e-07,8.346767974887488e-07
7,PR,estado,1.5854064034841897,0.5511664461189261,1.1859181501846159,93.28624683627221,132.9355618497304,0.376835306407028,4.5624200169080145e-07,6.407518217246131e-07,5.524341677547819e-07
8,PR,estado,1.4553102591402212,0.556023203032864,1.0774387150595404,94.2102938293961,132.63473909970534,0.383151512277967,3.7542491783045646e-07,5.226070197921829e-07,8.061076634921515e-07
9,PR,estado,1.5752445753869244,0.5097013166224278,1.063685062270421,91.95966260587622,130.10230078295115,0.39827531185903875,2.8713404650806584e-07,5.05969985116128e-07,8.218387556619784e-07
10,PR,estado,1.7049421128476734,0.49122481950154606,0.8670677749274375,92.93714321823006,114.42437312927794,0.30919283479534737,7.492078841213409e-07,8.308151174476894e-07,6.99666404586223e-07
11,PR,estado,1.5913214345553526,0.4984651091139541,0.8912828985910213,94.1572940363365,126.64536151288917,0.3918498337310934,8.078039374913506e-08,6.158937013566363e-07,5.507599940438215e-07
12,PR,estado,1.43441922259003,0.5006322305164655,1.057771192677379,93.90757478538715,130.92043996903544,0.4168397166434073,2.6796346242912826e-07,5.438586643871135e-07,7.803376297650838e-07
13,PR,estado,1.4290866976683216,0.511174813697561,0.9780071501350243,93.42003214221548,130.46485750268596,0.42234508604141685,4.888762214417654e-07,5.237525175522305e-07,7.192884401149685e-07
14,PR,estado,1.3592277128750876,0.5575723078557435,1.0931592231282918,94.53327207534358,135.24841141397886,0.41108057617309873,2.9479897447824523e-07,6.521977876869488e-07,8.265666504272557e-07
15,PR,estado,1.3351737837530409,0.4308369070671399,0.7201317803320454,94.66758344572918,121.17592437092635,0.461213571106418,3.77388579589064e-07,4.848985074269059e-07,8.552671265630437e-07
16,PR,estado,1.586574095512754,0.49983396995281665,0.8456134852069117,94.09053481552729,116.23834106530688,0.3255883423321843,5.484907864510655e-07,8.499906913677559e-07,8.249335160416461e-07
17,PR,estado,1.4736125494019618,0.5406554364346059,0.9368357042658825,94.45288550387458,126.49400464106795,0.35944079021399583,4.1309363677293467e-07,5.185561526032788e-07,8.555611284299083e-07
18,PR,estado,1.4285198823611989,0.5122791826406586,0.9413873560288482,94.18590760884832,131.11614590698946,0.41971204684323155,4.990095634703767e-07,3.2431915829745896e-07,7.288372795154693e-07
19,PR,estado,1.5701719136719121,0.5358546928338409,1.0529311904499175,94.14877507298857,128.61914981975082,0.34667553886177976,2.6836465824089777e-07,8.036486144982446e-07,7.581129203732556e-07
20,PR,estado,1.491822413030423,0.5137417834603024,0.9356850211545623,93.29772870803619,131.92841056959736,0.415549384293,7.212636631754289e-07,3.3307826788994287e-07,6.945193475195618e-07
21,PR,estado,1.7195208027014863,0.5784150414263036,0.942595391752389,93.58048272265914,124.39350568400542,0.3064622242173407,3.620243629335936e-07,4.0641068849297456e-07,7.593096362019729e-07
22,PR,estado,1.9094388295422515,0.5407157578673858,0.8880912705007323,94.1106831818044,117.7817494049912,0.28669584796911163,3.338478631610657e-07,3.832160645409193e-07,4.6707916145181304e-07
23,PR,estado,1.9882163991318422,0.5397437484918796,1.0554047967910658,94.24476383612719,113.38699397330466,0.2080627120329409,2.831785780602482e-07,5.720061225727401e-07,8.306068860000303e-07
24,PR,estado,1.587559978299829,0.531854361332823,0.9896674695674408,94.35528772633828,126.68018187743408,0.33424815941390246,3.056068804326868e-07,8.544852596195089e-07,7.97668101958912e-07
25,PR,estado,1.2757018842905576,0.3994232903154745,0.7418272308926994,91.34641893441052,131.91826397437168,0.6409643124998227,2.398467416757682e-07,6.582488110689574e-07,4.358895885767551e-07
26,PR,estado,1.7786126739592878,0.6481600070770182,1.1924914498471262,92.0961366536741,133.2446831110469,0.2985440991246182,7.739160466227455e-08,4.870647951984486e-07,8.062803536551771e-07
27,PR,estado,1.3643343573134397,0.5143888428849066,1.106347336763038,96.6651315449809,132.3369231122598,0.3843248748912289,6.5805872030476e-07,8.417943843846441e-07,8.549894945896526e-07
28,PR,estado,1.3741970910141998,0.4535032217138918,0.7714299439610335,93.1275376251105,126.09320191309948,0.4711281932000023,4.5605532978468515e-07,5.435270556190716e-07,8.279943412397164e-07
29,PR,estado,1.4815288059872591,0.48337590386723633,0.9509885872650511,94.39179585882366,132.16562871317444,0.47450072712308927,7.261300986236629e-07,1.9996812208703849e-07,2.667999673948559e-07
30,PR,estado,1.6613929142480135,0.6329795662443954,1.0746318774677368,94.39913088338658,130.75029982371439,0.29875179843542726,3.1447918105434594e-07,8.073656133693886e-07,6.748272118399091e-07
