state,name,indUF,indCAP,indInland,date
25,PB,52.5382898450361,55.9993559770653,51.670540643896,26-Mar-2020 00:00:00
25,PB,51.9704191203167,55.4783958173155,51.0909086283707,27-Mar-2020 00:00:00
25,PB,51.1231550646598,54.4362424926752,50.2925066865884,28-Mar-2020 00:00:00
25,PB,49.899349054213,53.0783874261162,49.1023090953159,29-Mar-2020 00:00:00
25,PB,49.1848934200531,52.1848077562253,48.432762958109,30-Mar-2020 00:00:00
25,PB,48.381069260223,51.2483756434496,47.6621859079392,31-Mar-2020 00:00:00
25,PB,47.8696718522102,50.704315844561,47.1589775268068,01-Apr-2020 00:00:00
25,PB,47.4584046191628,50.2788129690789,46.7512794157811,02-Apr-2020 00:00:00
25,PB,47.0577794928577,49.7845890963803,46.3741211156829,03-Apr-2020 00:00:00
25,PB,46.7809568867254,49.5215966596339,46.0938310466422,04-Apr-2020 00:00:00
25,PB,46.5656485974914,49.473520898477,45.836594667303,05-Apr-2020 00:00:00
25,PB,46.0157066400717,48.9861247993966,45.270971380334,06-Apr-2020 00:00:00
25,PB,46.8808178230642,49.9662175242433,46.1072547000947,07-Apr-2020 00:00:00
25,PB,46.4213137016332,49.6737482374621,45.6058720537236,08-Apr-2020 00:00:00
25,PB,46.0045240374728,49.2772853154385,45.1839861233903,09-Apr-2020 00:00:00
25,PB,45.815237473003,49.1249166504318,44.9854436023612,10-Apr-2020 00:00:00
25,PB,45.7515497024579,49.0948346577668,44.9133302814807,11-Apr-2020 00:00:00
25,PB,46.075460638894,49.4152139844482,45.2381266536256,12-Apr-2020 00:00:00
25,PB,45.9289041229091,49.2449849114387,45.0975052575324,13-Apr-2020 00:00:00
25,PB,44.3817088685598,47.7394920499286,43.5398544913,14-Apr-2020 00:00:00
25,PB,44.180700610304,47.4792239147361,43.3537037101653,15-Apr-2020 00:00:00
25,PB,44.316935906865,47.7338363614517,43.4602598057052,16-Apr-2020 00:00:00
25,PB,44.1185005985554,47.603119715269,43.2448462563793,17-Apr-2020 00:00:00
25,PB,45.0918611858154,48.7138820790404,44.183757839415,18-Apr-2020 00:00:00
25,PB,44.6824213600442,48.2071292129684,43.7987160776392,19-Apr-2020 00:00:00
25,PB,44.6244864036849,48.3125195961829,43.6998326309781,20-Apr-2020 00:00:00
25,PB,44.6216575218097,48.2972673151029,43.7001185103713,21-Apr-2020 00:00:00
25,PB,44.6609217155304,48.4286164483041,43.716295415487,22-Apr-2020 00:00:00
25,PB,44.3269470460307,48.0911322344255,43.3832006495243,23-Apr-2020 00:00:00
25,PB,44.5258769205192,48.336135639348,43.5705790922566,24-Apr-2020 00:00:00
25,PB,43.2034701728058,46.9190790011261,42.2719027107781,25-Apr-2020 00:00:00
25,PB,42.9700655506553,46.7699967720732,42.0173570047947,26-Apr-2020 00:00:00
25,PB,42.8646130001134,46.5077246948639,41.9512218246231,27-Apr-2020 00:00:00
25,PB,43.5090671449246,47.2160275002398,42.5796680048114,28-Apr-2020 00:00:00
25,PB,43.1502636849097,46.8026259353057,42.2345532349631,29-Apr-2020 00:00:00
25,PB,42.7611716446966,46.2897667216094,41.8764917679377,30-Apr-2020 00:00:00
25,PB,42.4452433771843,45.7980555560451,41.6046353163167,01-May-2020 00:00:00
25,PB,42.5932417537227,45.7300928050423,41.8067788864899,02-May-2020 00:00:00
25,PB,42.9506781401879,45.8710741179436,42.2184843074095,03-May-2020 00:00:00
25,PB,43.3244612853114,46.0823269574801,42.6330166140497,04-May-2020 00:00:00
25,PB,42.6667025031195,45.1950524066171,42.0328014086967,05-May-2020 00:00:00
